Date,Event Type,Location,Source
11-12.07.2021,Flash Flood,"Manjhi Khad, Gaj Khad, Dharamshala region, District Kangra",ResearchGate - "Flash Floods in Himachal Pradesh: Man-Made Disaster or a Natural Calamity"
19.07.2022,Cloud Burst,"Sumdo check post, District Kinnaur",Down To Earth
28.07.2022,Flood,"Giu village, District Kinnaur",Down To Earth
28.07.2022,Cloud Burst,"Chanaighad area, District Kullu",Down To Earth
11.08.2022,Flash Flood,"Baghi Nullah, Mandi-Katola-Prashar Road, District Mandi",Deccan Herald
09.07.2023,Flood (debris/mudslide),"Thunag Market, Saraj area, District Mandi",SANDRP
20.07.2023,Cloud Burst,"Shanan HEP Complex, District Mandi",SANDRP
25.07.2023,Flash Flood,"Brahmaganga HEP project area, District Kullu",SANDRP
14.08.2023,Cloudburst/Landslide,"Summer Hill (Shiv Baori Temple), District Shimla",Wikipedia - 2023 Himalayan Floods
14.08.2023,Flood,"District Solan",Wikipedia - 2023 Himalayan Floods
14.08.2023,Flood,"Sambal, District Mandi",Wikipedia - 2023 Himalayan Floods
12.05.2024,Cloud Burst,"Gharshu village, District Kinnaur",SANDRP
27.07.2024,Flash Flood,"Karpat Nullah, Miyar Valley, District Lahaul & Spiti",SANDRP
01.08.2024 0138 hrs,Cloud Burst,"Village Jaon, Nirmand Tehsil, District Kullu",MHA Situation Report (Annexure-II)
01.08.2024 0228 hrs,Cloud Burst,"Village TikkanThalukot, Padhar Tehsil, District Mandi",MHA Situation Report (Annexure-II)
01.08.2024 0447 hrs,Cloud Burst,"Near Hydro Power Project Jhakari, Tehsil Rampur, District Shimla",MHA Situation Report (Annexure-II)
01.08.2024 0542 hrs,Flash Flood,"Malana area, Sub-Tehsil Jari, District Kullu",MHA Situation Report (Annexure-II)
11.08.2024,Flash Flood,"Jejon Khadd, Dehlan area, District Una",News on Air (Akashvani)
11.08.2024,Flood,"Bathu Bathri, Haroli region, District Una",News on Air (Akashvani)
24.05.2025,Cloudburst/Flash Flood,"Jagatkhana, Nirmand area, District Kullu",News on Air (Akashvani)
25.06.2025,Flash Flood,"Manuni Rivulet, Khaniyara, Dharamshala, District Kangra",News on Air (Akashvani)
25.06.2025,Cloudburst/Flash Flood,"Jeevanala, Sainj, District Kullu",News on Air (Akashvani)
25.06.2025,Cloud Burst,"Shilagarh, Gadsa, District Kullu",News on Air (Akashvani)
25.06.2025,Cloud Burst,"Snow Gallery, Manali, District Kullu",News on Air (Akashvani)
25.06.2025,Cloud Burst,"Hornagarh, Banjar, District Kullu",News on Air (Akashvani)
03.07.2025,Flash Flood,"Near Snow Gallery, Manali-Keylong-Leh Highway, District Kullu",News on Air (Akashvani)
06.07.2025,Cloud Burst,"District Mandi",News on Air (Akashvani)
06.07.2025,Cloud Burst,"District Chamba",News on Air (Akashvani)
07.07.2025,Flood,"Thunag, District Mandi",Tribune India
13.08.2025,Flash Flood,"Ganvi Ravine, District Shimla",Deccan Herald
