Date,Event Type,Location,Source
2021-07-11 00:00:00,Flash Flood,"Manjhi Khad, Gaj Khad, Dharamshala region, District Kangra","ResearchGate - ""Flash Floods in Himachal Pradesh: Man-Made Disaster or a Natural Calamity"""
2022-07-19 00:00:00,Cloud Burst,"Sumdo check post, District Kinnaur",Down To Earth
2022-07-28 00:00:00,Flood,"Giu village, District Kinnaur",Down To Earth
2022-07-28 00:00:00,Cloud Burst,"Chanaighad area, District Kullu",Down To Earth
2022-08-11 00:00:00,Flash Flood,"Baghi Nullah, Mandi-Katola-Prashar Road, District Mandi",Deccan Herald
2023-07-09 00:00:00,Flood (debris/mudslide),"Thunag Market, Saraj area, District Mandi",SANDRP
2023-07-20 00:00:00,Cloud Burst,"Shanan HEP Complex, District Mandi",SANDRP
2023-07-25 00:00:00,Flash Flood,"Brahmaganga HEP project area, District Kullu",SANDRP
2023-08-14 00:00:00,Cloudburst/Landslide,"Summer Hill (Shiv Baori Temple), District Shimla",Wikipedia - 2023 Himalayan Floods
2023-08-14 00:00:00,Flood,District Solan,Wikipedia - 2023 Himalayan Floods
2023-08-14 00:00:00,Flood,"Sambal, District Mandi",Wikipedia - 2023 Himalayan Floods
2024-05-12 00:00:00,Cloud Burst,"Gharshu village, District Kinnaur",SANDRP
2024-07-27 00:00:00,Flash Flood,"Karpat Nullah, Miyar Valley, District Lahaul & Spiti",SANDRP
2024-08-01 01:38:00,Cloud Burst,"Village Jaon, Nirmand Tehsil, District Kullu",MHA Situation Report (Annexure-II)
2024-08-01 02:28:00,Cloud Burst,"Village TikkanThalukot, Padhar Tehsil, District Mandi",MHA Situation Report (Annexure-II)
2024-08-01 04:47:00,Cloud Burst,"Near Hydro Power Project Jhakari, Tehsil Rampur, District Shimla",MHA Situation Report (Annexure-II)
2024-08-01 05:42:00,Flash Flood,"Malana area, Sub-Tehsil Jari, District Kullu",MHA Situation Report (Annexure-II)
2024-08-11 00:00:00,Flash Flood,"Jejon Khadd, Dehlan area, District Una",News on Air (Akashvani)
2024-08-11 00:00:00,Flood,"Bathu Bathri, Haroli region, District Una",News on Air (Akashvani)
2025-05-24 00:00:00,Cloudburst/Flash Flood,"Jagatkhana, Nirmand area, District Kullu",News on Air (Akashvani)
2025-06-25 00:00:00,Flash Flood,"Manuni Rivulet, Khaniyara, Dharamshala, District Kangra",News on Air (Akashvani)
2025-06-25 00:00:00,Cloudburst/Flash Flood,"Jeevanala, Sainj, District Kullu",News on Air (Akashvani)
2025-06-25 00:00:00,Cloud Burst,"Shilagarh, Gadsa, District Kullu",News on Air (Akashvani)
2025-06-25 00:00:00,Cloud Burst,"Snow Gallery, Manali, District Kullu",News on Air (Akashvani)
2025-06-25 00:00:00,Cloud Burst,"Hornagarh, Banjar, District Kullu",News on Air (Akashvani)
2025-07-03 00:00:00,Flash Flood,"Near Snow Gallery, Manali-Keylong-Leh Highway, District Kullu",News on Air (Akashvani)
2025-07-06 00:00:00,Cloud Burst,District Mandi,News on Air (Akashvani)
2025-07-06 00:00:00,Cloud Burst,District Chamba,News on Air (Akashvani)
2025-07-07 00:00:00,Flood,"Thunag, District Mandi",Tribune India
2025-08-13 00:00:00,Flash Flood,"Ganvi Ravine, District Shimla",Deccan Herald
